,county_district_school_code,county_code,district_code,school_code,record_type,school_name,district_name,county_name,_12th_grade_enrollment_x,test_taker_count,average_reading_score,average_english_score,average_math_score,average_science_score,number_of_composite_results_21andup,percent_of_composite_results_21andup,_12th_grade_enrollment_y,test_taker_count_12thgrade,number_that_passed_reading_writing_standard_12thgrade,percent_that_passed_reading_writing_standard_12thgrade,number_that_passedorabove_math_standard_12thgrade,percent_that_passedorabove_math_standard_12thgrade,_11th_grade_enrollment,test_taker_count_11thgrade,number_that_passed_reading_writing_standard_11thgrade,percent_that_passed_reading_writing_standard_11thgrade,number_that_passedorabove_math_standard_11thgrade,percent_that_passedorabove_math_standard_11thgrade,number_that_passed_both_12thgrade,percent_that_passed_both_12thgrade,number_that_passed_both_11thgrade,percent_that_passed_both_11thgrade
0,43696664333795.0,43.0,4369666.0,4333795.0,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23.0,22.0,22.0,23.0,34.0,64.15,463.0,160.0,128.0,80.0,83.0,51.88,453.0,423.0,270.0,63.83,182.0,182.0,80.0,50.0,173.0,40.9
1,19647331935121.0,19.0,1964733.0,1935121.0,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21.0,20.0,23.0,22.0,11.0,57.89,226.0,127.0,65.0,51.18,43.0,33.86,234.0,177.0,87.0,49.15,61.0,61.0,39.0,30.71,51.0,28.81
2,19769680109926.0,19.0,1976968.0,109926.0,S,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15.0,15.0,17.0,16.0,3.0,9.09,65.0,42.0,15.0,35.71,6.0,14.29,54.0,40.0,19.0,47.5,9.0,9.0,5.0,11.9,6.0,15.0
3,19647330126615.0,19.0,1964733.0,126615.0,S,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18.0,18.0,18.0,17.0,5.0,31.25,126.0,48.0,23.0,47.92,12.0,25.0,145.0,136.0,65.0,47.79,15.0,15.0,11.0,22.92,15.0,11.03
4,19651361996321.0,19.0,1965136.0,1996321.0,S,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29.0,29.0,25.0,25.0,34.0,94.44,104.0,51.0,48.0,94.12,43.0,84.31,105.0,88.0,88.0,100.0,81.0,81.0,43.0,84.31,81.0,92.05
5,7616300730283.0,7.0,761630.0,730283.0,S,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29.0,29.0,28.0,27.0,93.0,93.94,353.0,122.0,119.0,97.54,109.0,89.34,315.0,186.0,185.0,99.46,179.0,179.0,109.0,89.34,179.0,96.24
6,36679340125419.0,36.0,3667934.0,125419.0,S,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,19.0,17.0,18.0,18.0,8.0,28.57,430.0,102.0,55.0,53.92,15.0,14.71,461.0,355.0,136.0,38.31,34.0,34.0,14.0,13.73,33.0,9.3
7,56725465631619.0,56.0,5672546.0,5631619.0,S,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,23.0,23.0,23.0,22.0,55.0,60.44,507.0,352.0,242.0,68.75,201.0,57.1,574.0,450.0,339.0,75.33,274.0,274.0,184.0,52.27,260.0,57.78
8,43696744338802.0,43.0,4369674.0,4338802.0,S,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,25.0,24.0,24.0,24.0,93.0,67.39,458.0,106.0,97.0,91.51,84.0,79.25,469.0,385.0,287.0,74.55,218.0,218.0,82.0,77.36,210.0,54.55
9,19646831930080.0,19.0,1964683.0,1930080.0,S,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,27.0,26.0,25.0,24.0,114.0,81.43,459.0,134.0,124.0,92.54,111.0,82.84,494.0,207.0,197.0,95.17,176.0,176.0,109.0,81.34,174.0,84.06
10,19647330118588.0,19.0,1964733.0,118588.0,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14.0,14.0,16.0,15.0,7.0,6.25,382.0,98.0,28.0,28.57,10.0,10.2,387.0,189.0,46.0,24.34,17.0,17.0,9.0,9.18,14.0,7.41
11,1611190130229.0,1.0,161119.0,130229.0,S,Alameda High,Alameda Unified,Alameda,463.0,93.0,28.0,27.0,27.0,26.0,85.0,91.4,463.0,190.0,160.0,84.21,145.0,76.32,423.0,247.0,233.0,94.33,221.0,221.0,132.0,69.47,217.0,87.85
12,1611270130450.0,1.0,161127.0,130450.0,S,Albany High,Albany City Unified,Alameda,296.0,58.0,28.0,27.0,27.0,26.0,51.0,87.93,296.0,114.0,107.0,93.86,97.0,85.09,261.0,147.0,147.0,100.0,141.0,141.0,96.0,84.21,141.0,95.92
13,19647331933852.0,19.0,1964733.0,1933852.0,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,23.0,23.0,21.0,21.0,75.0,53.96,585.0,323.0,217.0,67.18,119.0,36.84,601.0,541.0,349.0,64.51,172.0,172.0,116.0,35.91,171.0,31.61
14,19757131930163.0,19.0,1975713.0,1930163.0,S,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,24.0,25.0,24.0,23.0,69.0,74.19,648.0,268.0,198.0,73.88,151.0,56.34,573.0,279.0,233.0,83.51,176.0,176.0,139.0,51.87,166.0,59.5
15,7617390730549.0,7.0,761739.0,730549.0,S,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,25.0,23.0,25.0,23.0,30.0,75.0,284.0,79.0,71.0,89.87,60.0,75.95,264.0,82.0,76.0,92.68,68.0,68.0,60.0,75.95,66.0,80.49
16,27661592730109.0,27.0,2766159.0,2730109.0,S,Alisal High,Salinas Union High,Monterey,651.0,206.0,18.0,17.0,18.0,18.0,47.0,22.82,651.0,232.0,121.0,52.16,77.0,33.19,704.0,142.0,96.0,67.61,63.0,63.0,67.0,28.88,56.0,39.44
17,30664643030574.0,30.0,3066464.0,3030574.0,S,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,26.0,27.0,27.0,26.0,254.0,88.81,749.0,235.0,220.0,93.62,199.0,84.68,789.0,338.0,327.0,96.75,303.0,303.0,195.0,82.98,300.0,88.76
18,19647330121285.0,19.0,1964733.0,121285.0,S,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,155.0,15.0,14.0,16.0,16.0,13.0,8.39,123.0,84.0,30.0,35.71,10.0,11.9,114.0,108.0,35.0,32.41,17.0,17.0,10.0,11.9,13.0,12.04
19,19647330108936.0,19.0,1964733.0,108936.0,S,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,70.0,18.0,20.0,19.0,18.0,19.0,27.14,141.0,138.0,71.0,51.45,29.0,21.01,150.0,147.0,88.0,59.86,43.0,43.0,29.0,21.01,41.0,27.89
20,19647330111500.0,19.0,1964733.0,111500.0,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,80.0,16.0,16.0,18.0,17.0,14.0,17.5,101.0,95.0,39.0,41.05,38.0,40.0,99.0,99.0,61.0,61.62,58.0,58.0,28.0,29.47,49.0,49.49
21,19647330108894.0,19.0,1964733.0,108894.0,S,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138.0,162.0,16.0,16.0,17.0,17.0,24.0,14.81,138.0,138.0,58.0,42.03,36.0,26.09,149.0,144.0,86.0,59.72,67.0,67.0,31.0,22.46,59.0,40.97
22,19647330117606.0,19.0,1964733.0,117606.0,S,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128.0,155.0,18.0,18.0,18.0,18.0,40.0,25.81,128.0,111.0,62.0,55.86,37.0,33.33,107.0,96.0,68.0,70.83,38.0,38.0,31.0,27.93,36.0,37.5
23,19647330111658.0,19.0,1964733.0,111658.0,S,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141.0,157.0,19.0,18.0,19.0,19.0,48.0,30.57,141.0,139.0,84.0,60.43,52.0,37.41,155.0,147.0,98.0,66.67,65.0,65.0,49.0,35.25,61.0,41.5
24,19647330124941.0,19.0,1964733.0,124941.0,S,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114.0,139.0,17.0,16.0,16.0,16.0,19.0,13.67,114.0,108.0,43.0,39.81,11.0,10.19,111.0,98.0,42.0,42.86,20.0,20.0,11.0,10.19,17.0,17.35
25,19647330111641.0,19.0,1964733.0,111641.0,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130.0,148.0,15.0,14.0,16.0,16.0,16.0,10.81,130.0,126.0,54.0,42.86,23.0,18.25,155.0,140.0,67.0,47.86,39.0,39.0,22.0,17.46,37.0,26.43
26,19647330111492.0,19.0,1964733.0,111492.0,S,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131.0,164.0,16.0,14.0,17.0,16.0,18.0,10.98,131.0,121.0,39.0,32.23,31.0,25.62,136.0,129.0,58.0,44.96,33.0,33.0,26.0,21.49,29.0,22.48
27,19647330117598.0,19.0,1964733.0,117598.0,S,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105.0,143.0,15.0,13.0,15.0,15.0,4.0,2.8,105.0,85.0,20.0,23.53,6.0,7.06,135.0,66.0,28.0,42.42,14.0,14.0,5.0,5.88,11.0,16.67
28,19647330124891.0,19.0,1964733.0,124891.0,S,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131.0,147.0,16.0,14.0,16.0,16.0,12.0,8.16,131.0,127.0,44.0,34.65,20.0,15.75,124.0,115.0,34.0,29.57,24.0,24.0,15.0,11.81,21.0,18.26
29,19647330123141.0,19.0,1964733.0,123141.0,S,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59.0,110.0,17.0,16.0,18.0,17.0,24.0,21.82,59.0,57.0,28.0,49.12,19.0,33.33,111.0,108.0,50.0,46.3,34.0,34.0,17.0,29.82,29.0,26.85
30,19647330121293.0,19.0,1964733.0,121293.0,S,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89.0,89.0,15.0,14.0,16.0,16.0,10.0,11.24,89.0,18.0,10.0,55.56,5.0,27.78,82.0,42.0,25.0,59.52,7.0,7.0,5.0,27.78,6.0,14.29
31,36676523630225.0,36.0,3667652.0,3630225.0,S,Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,56.0,23.0,22.0,22.0,22.0,34.0,60.71,634.0,231.0,164.0,71.0,107.0,46.32,651.0,246.0,205.0,83.33,154.0,154.0,101.0,43.72,150.0,60.98
32,3739810330753.0,3.0,373981.0,330753.0,S,Amador High,Amador County Unified,Amador,154.0,17.0,25.0,25.0,25.0,24.0,16.0,94.12,154.0,26.0,23.0,88.46,18.0,69.23,185.0,35.0,35.0,100.0,30.0,30.0,18.0,69.23,30.0,85.71
33,1751010130583.0,1.0,175101.0,130583.0,S,Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29.0,29.0,28.0,28.0,258.0,92.14,654.0,259.0,244.0,94.21,218.0,84.17,623.0,414.0,409.0,98.79,391.0,391.0,217.0,83.78,387.0,93.48
34,28662660121087.0,28.0,2866266.0,121087.0,S,American Canyon High,Napa Valley Unified,Napa,412.0,41.0,23.0,23.0,24.0,24.0,31.0,75.61,412.0,148.0,125.0,84.46,78.0,52.7,385.0,175.0,142.0,81.14,84.0,84.0,77.0,52.03,82.0,46.86
35,1611760130062.0,1.0,161176.0,130062.0,S,American High,Fremont Unified,Alameda,538.0,136.0,29.0,30.0,30.0,29.0,126.0,92.65,538.0,203.0,188.0,92.61,180.0,88.67,578.0,327.0,316.0,96.64,308.0,308.0,174.0,85.71,302.0,92.35
36,30664313030228.0,30.0,3066431.0,3030228.0,S,Anaheim High,Anaheim Union High,Orange,722.0,66.0,19.0,18.0,19.0,19.0,23.0,34.85,722.0,137.0,89.0,64.96,55.0,40.15,804.0,102.0,75.0,73.53,59.0,59.0,48.0,35.04,53.0,51.96
37,49706074930400.0,49.0,4970607.0,4930400.0,S,Analy High,West Sonoma County Union High,Sonoma,262.0,33.0,27.0,27.0,25.0,24.0,27.0,81.82,262.0,93.0,86.0,92.47,64.0,68.82,260.0,84.0,78.0,92.86,58.0,58.0,64.0,68.82,58.0,69.05
38,19645681996131.0,19.0,1964568.0,1996131.0,S,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,224.0,21.0,26.0,27.0,26.0,25.0,18.0,85.71,224.0,92.0,87.0,94.57,79.0,85.87,254.0,103.0,96.0,93.2,94.0,94.0,78.0,84.78,91.0,88.35
39,43694274332995.0,43.0,4369427.0,4332995.0,S,Andrew P. Hill High,East Side Union High,Santa Clara,450.0,26.0,23.0,22.0,23.0,23.0,17.0,65.38,450.0,140.0,111.0,79.29,80.0,57.14,455.0,333.0,190.0,57.06,121.0,121.0,78.0,55.71,108.0,32.43
40,48705404830170.0,48.0,4870540.0,4830170.0,S,Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423.0,52.0,25.0,24.0,23.0,24.0,37.0,71.15,423.0,173.0,137.0,79.19,94.0,54.34,487.0,172.0,159.0,92.44,142.0,142.0,87.0,50.29,140.0,81.4
41,19647330124883.0,19.0,1964733.0,124883.0,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,35.0,16.0,17.0,17.0,18.0,6.0,17.14,128.0,52.0,15.0,28.85,8.0,15.38,115.0,60.0,15.0,25.0,4.0,4.0,7.0,13.46,4.0,6.67
